City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,vanimo,-2.6741,141.3028,85.53,71,83,5.5,PG,1731377581
346,nema,57.5067,50.5011,28.11,88,100,9.98,RU,1731377583
347,boumagueur,35.5052,5.5525,54.79,77,16,8.25,DZ,1731377584
348,tarko-sale,64.9225,77.785,-5.26,94,100,16.33,RU,1731377585
349,neftegorsk,52.802,51.166,22.19,96,32,2.75,RU,1731377586
350,livingstone,-17.8419,25.8543,68.76,84,99,2.46,ZM,1731377587
351,kupang,-10.1667,123.5833,90.18,62,20,5.75,ID,1731377589
352,kapuskasing,49.4169,-82.4331,26.69,93,100,11.5,CA,1731377591
353,mazamari,-11.3258,-74.5308,74.37,90,90,2.08,PE,1731377592
354,selfoss,63.9331,-20.9971,51.04,97,100,23.67,IS,1731377593
355,velikiye luki,56.34,30.5452,34.0,91,100,4.99,RU,1731377595
356,myeik,12.4333,98.6,81.66,71,74,3.98,MM,1731377596
357,xuanzhou,30.9525,118.7553,66.56,63,0,10.0,CN,1731377509
358,nizhnyaya poyma,56.1622,97.1933,26.91,94,100,2.28,RU,1731377598
